groupId	userIds
1	3142,4063,2083,3149,2388,5718,291,4131,5822,3572
2	2082,5571,2334,4572,3312,1292
3	626,3093,1285
4	102,597,475
5	5643,3227,3063
6	2534,3340,3798
7	5575,1635,2522
8	253,2686,4514
9	67,1794,5211
10	4203,2713,424
11	4964,2406,5014
12	627,661,5141
13	2752,1450,4851
14	3732,973,5065
15	1929,4871,2862
16	4234,665,3207
17	4824,3826,711
18	3861,3700,610
19	5397,4152,5380
20	184,394,1139
21	316,3853,2759
22	5997,1365,1952
23	432,2672,4601
24	4111,3720,461
25	1084,4474,4808
26	4705,4186,5726
27	3803,546,646
28	5114,452,3374
29	374,1837,4737
30	566,1842,4037
31	2618,1624,4615
32	3340,4132,2142
33	5734,3166,548
34	608,1546,4573
35	4478,2643,332
36	3843,1510,2008
37	2965,5931,2220
38	1191,4910,5024
39	4531,1713,2111
40	1398,873,300
41	1191,432,1335
42	2905,3754,779
43	5223,3114,3382
44	3835,1172,1661
45	513,133,1795
46	4016,4754,5687
47	482,2890,5914
48	5088,3134,4964
49	3512,3740,5417
50	3391,3876,3936
51	4252,4241,877
52	1639,1259,1219
53	3265,5045,3115
54	1295,2517,1469
55	2436,3180,4385
56	2010,3761,4766
57	940,1599,3943
58	5565,5338,3310
59	1636,5147,2997
60	5336,3570,55
61	2326,598,2175
62	1014,754,5933
63	2598,5111,4967
64	580,5964,2840
65	5570,2343,3900
66	460,6018,5715
67	866,190,2336
68	1892,3137,2923
69	4594,1419,4559
70	1267,5013,1518
71	269,725,4257
72	1291,2270,4919
73	1666,1865,268
74	4815,4136,4978
75	4705,5596,2186
76	5384,1423,786
77	3859,5965,5281
78	2158,389,5673
79	5816,5506,5232
80	3315,4851,1535
81	3920,2986,3839
82	680,2394,3485
83	5736,5348,1992
84	1831,497,755
85	5908,4764,4841
86	674,2058,1958
87	3644,5160,4477
88	5838,4815,1804
89	3358,5867,1513
90	1773,5465,1940
91	122,3567,1238
92	494,4056,4367
93	581,3204,3796
94	2960,4465,1091
95	2548,1593,4124
96	5861,2924,4022
97	3698,2320,365
98	3537,5841,4474
99	4512,2970,4954
100	5401,3803,2760
101	2051,5170,3886
102	3237,5782,620
103	4418,776,4236
104	2809,447,5215
105	3877,4974,2531
106	5323,1340,5125
107	5670,3186,3329
108	3398,2048,1711
109	424,1404,2779
110	4278,4315,4021
111	3656,2717,4945
112	5074,5844,3187
113	333,3718,381
114	5373,678,3153
115	1476,3237,419
116	5747,5735,4803
117	684,4470,1459
118	2616,670,2950
119	5016,2432,2057
120	4445,5891,553
121	5178,2487,5346
122	5784,3493,4219
123	157,5498,1953
124	416,2939,3543
125	2344,2270,4320
126	4078,4929,1263
127	1793,188,3569
128	2385,1165,1900
129	1479,303,4389
130	1693,2442,519
131	1343,4241,2948
132	4793,895,2804
133	4936,3026,3852
134	3282,658,199
135	4435,979,4946
136	4821,5372,3738
137	3015,205,3492
138	4140,3772,5360
139	3436,1516,4780
140	3005,5120,5436
141	1940,823,2925
142	2251,281,2093
143	3279,3825,4715
144	3983,5818,4703
145	1320,3131,3050
146	2713,1034,5108
147	4893,4970,5089
148	4339,5370,1435
149	1689,1856,2864
150	3531,5826,4465
151	4048,1157,1801
152	1486,2237,4242
153	5825,5491,235
154	2458,1703,906
155	4807,1240,333
156	5054,2218,5530
157	1797,1995,2811
158	3893,5318,2926
159	2157,4876,4388
160	5764,5855,4132
161	4875,3035,4439
162	3583,438,1817
163	1001,2566,1582
164	5889,5140,5198
165	5303,4282,2716
166	2580,4121,5508
167	1883,2909,2157
168	2354,4539,1893
169	6030,945,1026
170	4568,6025,5373
171	5675,5157,3858
172	843,5880,3314
173	4290,4032,5316
174	614,2658,5133
175	2108,199,751
176	5585,2509,1886
177	4275,66,803
178	4119,1020,5025
179	5105,3798,872
180	674,1492,2406
181	5782,3698,1404
182	2517,5927,3357
183	2063,5183,4405
184	1180,3118,5426
185	4050,5021,3050
186	1944,2676,2770
187	3648,4099,159
188	5287,3544,4835
189	2588,5063,2445
190	5404,5963,4107
191	163,5431,1748
192	1895,3779,5919
193	4677,5259,5654
194	1844,1284,1555
195	5008,1789,4275
196	5442,3314,3338
197	3631,5439,1422
198	1255,449,737
199	1874,617,5814
200	5851,3482,3855
201	398,3414,1006
202	3980,453,5108
203	2675,4760,875
204	5746,5302,1898
205	4244,2070,4375
206	4775,1587,3363
207	5184,1939,629
208	1751,4784,4256
209	4268,5075,3548
210	779,18,807
211	4013,4824,2166
212	645,1149,4607
213	5456,3646,552
214	2635,3504,1566
215	4218,947,932
216	624,1768,955
217	350,2513,5894
218	2860,3957,2528
219	2455,2023,1534
220	5178,3830,5759
221	3803,4592,2421
222	4805,4710,3535
223	5348,622,2322
224	1278,2527,1796
225	872,4127,1491
226	1653,3319,349
227	4104,3121,2316
228	1450,1760,4451
229	1439,358,583
230	258,5882,4608
231	4507,5377,1003
232	5492,3203,3859
233	4483,1947,474
234	1543,1305,2689
235	4704,1804,3788
236	1168,1452,5778
237	5688,4459,5306
238	2019,2473,3903
239	4332,2454,2894
240	6007,1068,990
241	435,3709,3360
242	2252,6010,1565
243	2637,2556,2681
244	1764,2997,4749
245	2039,2158,1999
246	490,4634,5827
247	2334,4042,4936
248	1279,905,3452
249	1125,5771,1767
250	6040,2926,219
251	2059,1148,2445
252	1320,1709,5121
253	3986,1253,4424
254	729,3507,160
255	2678,5146,4891
256	1338,1193,3683
257	4621,2786,41
258	370,804,2580
259	1748,5602,531
260	5833,457,4192
261	923,2683,2332
262	3202,4644,5614
263	2070,2830,2980
264	2519,4996,2124
265	2780,5029,1176
266	4143,5872,5256
267	5930,3569,1413
268	633,1802,1833
269	445,5727,2223
270	1125,2091,311
271	5888,509,1269
272	1774,1877,2402
273	5530,2390,3947
274	2933,6000,3992
275	721,1361,2966
276	4788,5908,4749
277	5412,1328,561
278	229,3674,5109
279	4396,709,52
280	1,2067,4236
281	2370,3417,165
282	2754,1098,4904
283	3182,2886,3348
284	1923,2916,3291
285	490,3670,5392
286	1505,156,2874
287	3807,4983,2588
288	1649,2769,3443
289	1997,5079,436
290	3240,1105,2663
291	4716,5267,1116
292	3216,891,972
293	1517,2284,3906
294	558,3683,2717
295	2423,3214,4970
296	4845,5376,623
297	1130,714,3970
298	3972,5948,5368
299	201,4566,315
300	5660,4175,3064
301	1513,4486,2318
302	2895,4400,3454
303	5584,5769,3879
304	441,1104,2561
305	4266,1206,593
306	2490,1800,3274
307	1936,5613,1180
308	2767,702,3690
309	529,2126,2748
310	402,5701,5125
311	4408,154,4276
312	3580,945,3426
313	531,2263,1863
314	2569,4821,4118
315	23,5283,1171
316	774,3020,882
317	4394,4669,790
318	2014,4427,4166
319	141,42,4315
320	1991,551,3173
321	4910,1330,3984
322	2683,2083,5791
323	5672,4912,1292
324	4744,2551,508
325	2212,1469,2668
326	2257,301,1061
327	4705,318,1372
328	1131,678,5484
329	5225,4962,507
330	2056,5565,1471
331	2102,1524,3356
332	4303,5349,2751
333	3620,3615,2716
334	458,712,5405
335	3986,2656,655
336	1402,10,1218
337	3942,2750,1948
338	4775,1629,2032
339	2114,189,756
340	5255,589,1247
341	4320,5746,4763
342	4469,4798,4545
343	1701,929,4738
344	3997,5278,308
345	610,4450,5075
346	1106,171,2554
347	3024,3223,5730
348	1765,4063,2290
349	958,390,1379
350	812,3590,5456
351	5024,2268,3232
352	329,3215,5249
353	739,3627,2021
354	4800,3450,4504
355	5082,1602,4326
356	3828,5595,731
357	4798,1683,3753
358	1660,5680,420
359	2030,4874,1452
360	539,3924,4246
361	147,1206,1105
362	4954,2820,1337
363	2493,1320,387
364	2931,307,2783
365	5806,1387,1736
366	3188,5707,1195
367	5558,1402,3876
368	98,3686,931
369	456,4140,5628
370	3338,1309,956
371	151,721,4919
372	3183,442,2769
373	4452,4168,495
374	1234,1516,19
375	773,1544,3687
376	1916,1740,3935
377	3468,3580,3629
378	6016,990,5162
379	108,5537,5320
380	2447,3657,4321
381	4195,4722,4069
382	988,5961,4465
383	161,3632,1014
384	5856,4784,2436
385	4077,4778,3330
386	1405,925,4766
387	5801,5419,1689
388	5291,94,1788
389	2476,5070,4003
390	5459,6033,5005
391	2923,13,126
392	1239,3168,4235
393	2651,1987,2986
394	2812,1215,2304
395	3601,3296,4658
396	3436,4800,5602
397	1530,2898,2030
398	1107,1950,2319
399	3669,3704,632
400	1816,2813,1263
401	1044,4271,4772
402	1316,5352,1702
403	5437,484,727
404	108,1579,5101
405	445,1822,525
406	2594,3269,5595
407	1414,1947,2296
408	1481,1474,5718
409	2696,144,2623
410	4274,5568,1326
411	589,1494,5696
412	3220,2877,5374
413	3569,3405,1657
414	2045,3944,5633
415	5128,3371,6033
416	1612,163,1501
417	4606,3249,3433
418	5049,2499,3366
419	2973,4536,2675
420	727,3368,4467
421	3929,1158,2876
422	5653,4999,2367
423	3198,3183,45
424	2534,3885,3548
425	5182,714,1106
426	2265,2325,2394
427	2814,319,4820
428	5729,4649,4999
429	2405,355,3206
430	2464,2898,128
431	730,5748,637
432	5802,3267,4320
433	4618,4635,77
434	5369,5933,2319
435	830,4694,3811
436	5042,5317,2733
437	841,1204,2882
438	264,153,3769
439	1574,4760,400
440	3368,595,5988
441	851,5299,3523
442	5277,4519,3622
443	72,3255,2382
444	1611,5808,4115
445	3415,2059,1876
446	4173,4746,1576
447	5815,5639,4945
448	4449,4252,5644
449	466,1194,5037
450	3644,3329,1677
451	2441,2916,842
452	1763,2828,1199
453	5290,3535,5843
454	3866,544,3656
455	3416,4611,5186
456	3753,5631,911
457	4554,3116,5546
458	1845,4718,3817
459	2712,5831,3404
460	17,3460,3847
461	3466,2428,5794
462	4552,5885,5087
463	3791,2649,4806
464	6035,3107,1565
465	1836,1667,3977
466	2310,3741,5206
467	724,4043,3128
468	5259,714,5174
469	2881,5102,135
470	3012,1363,3663
471	4376,3241,812
472	3423,872,1610
473	2769,3464,5115
474	3923,5879,281
475	2997,2625,1524
476	2471,5577,5529
477	505,1053,3977
478	3129,4501,1690
479	5862,5102,709
480	519,5419,3521
481	2106,656,5968
482	5253,475,3119
483	1201,4013,5760
484	5860,2130,205
485	3312,4135,3421
486	2892,98,571
487	3762,4474,1940
488	5402,271,3725
489	1982,2526,4313
490	5578,2658,2558
491	1550,3988,3758
492	4249,2936,1888
493	465,3411,2818
494	4535,5495,3639
495	4659,378,5823
496	652,158,3630
497	4545,3012,5878
498	3327,6022,1599
499	4575,1343,616
500	1918,617,2048
501	1149,8,1073
502	2546,2218,5438
503	5705,5605,2415
504	612,4994,5008
505	855,467,4002
506	3536,3590,1523
507	2112,364,1006
508	5922,5339,536
509	3257,6021,1318
510	5058,1460,3421
511	856,4242,1009
512	993,111,2858
513	864,4559,348
514	4548,5373,2084
515	1868,3311,3731
516	1190,2769,4419
517	73,4104,2213
518	4958,4318,3878
519	2648,3484,4096
520	2326,814,2287
521	5500,2598,1499
522	3262,2469,732
523	2534,5390,4334
524	4934,1144,1356
525	1217,5620,4752
526	3913,2823,5532
527	1408,1545,3809
528	623,714,3727
529	1047,2575,3575
530	2948,1422,3910
531	3829,2653,492
532	712,1666,4569
533	3364,1052,4105
534	5676,3505,284
535	3758,4487,5052
536	775,4688,5067
537	5476,2794,2793
538	2925,107,5258
539	2372,4909,4086
540	3868,5413,682
541	5806,3091,1591
542	3754,5662,4211
543	174,3886,5606
544	3814,4744,717
545	4232,1113,232
546	2914,2315,1134
547	3895,4923,4189
548	4741,1351,3316
549	5806,6036,2948
550	3236,483,2117
551	3702,1964,5073
552	3310,2777,205
553	1175,1275,915
554	2142,298,872
555	4735,4798,3216
556	2979,4205,5071
557	2307,1645,167
558	903,4117,3632
559	2923,1198,5997
560	1266,4028,1758
561	5008,4230,158
562	5654,3035,3188
563	18,5019,2918
564	2691,1076,5117
565	2521,3215,982
566	602,735,1668
567	2001,2337,1279
568	5791,1385,3655
569	4062,4717,6018
570	3677,2167,4798
571	2730,4013,576
572	200,3654,4932
573	996,919,4760
574	4154,3354,3625
575	5844,5482,2090
576	3932,1603,3144
577	1170,5597,5181
578	5305,5640,3050
579	3104,1870,842
580	5469,1019,5591
581	1491,5735,5925
582	5102,2472,781
583	3872,5614,3574
584	26,3685,5233
585	250,542,5326
586	2945,1216,703
587	5526,6017,5910
588	711,3886,4086
589	5063,5335,1372
590	3869,4848,537
591	1838,929,3873
592	1106,699,1874
593	3631,2723,768
594	342,1834,3452
595	2651,1625,1115
596	946,2426,2465
597	5501,2278,317
598	5349,2456,942
599	5449,2288,2696
600	3725,2736,1777
601	1123,1042,3183
602	1564,943,4791
603	5283,4493,4331
604	5128,2936,3056
605	687,3034,883
606	537,2875,2801
607	2744,1582,2363
608	3205,2275,4442
609	466,1380,5203
610	4074,2961,1296
611	1334,3652,937
612	2446,3580,1750
613	5513,3156,1860
614	5414,5011,5310
615	3918,1291,1805
616	1712,2740,3995
617	883,744,5161
618	188,2081,2719
619	3693,3079,3209
620	5258,3858,1061
621	4657,3837,5673
622	3191,3157,2346
623	5382,470,3456
624	995,1265,5135
625	2017,2820,4256
626	198,3675,4071
627	4039,3583,5826
628	1723,1667,5134
629	726,2140,4448
630	5107,5571,505
631	5312,710,5887
632	1613,3453,892
633	1655,4683,1304
634	2356,4252,4809
635	3679,3183,1525
636	5517,267,852
637	637,3118,2565
638	4604,3259,1818
639	681,1348,5348
640	2813,2744,5479
641	4280,3698,5703
642	2643,2672,5143
643	4275,450,343
644	1228,4852,1638
645	962,5968,537
646	430,3309,1733
647	3350,3602,352
648	5326,3052,5584
649	3995,2964,2965
650	6004,5910,1051
651	2750,1300,3476
652	2361,5924,4649
